County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Butler,Jefferson Twp,16,21,11,360,7,In Progress
Montgomery,Souderton Boro,1,12,53,356,6,In Progress
Cumberland,Southampton Twp,13,34,193,355,5,In Progress
Lackawanna,Jefferson,8,40,112,342,1,In Progress
Wayne,Damascus Twp.,8,20,111,340,5,In Progress
Montgomery,Royersford Boro,4,44,146,331,3,In Progress
Montgomery,Upper Salford Twp,4,24,147,330,6,In Progress
Butler,Lancaster Twp,16,47,8,326,4,In Progress
Cumberland,Lemoyne Boro,10,31,103,322,7,In Progress
Lycoming,Old Lycoming Twp,15,23,84,320,3,In Progress
Lackawanna,Throop,8,22,112,318,0,In Progress
Butler,Penn Twp,16,21,8,310,5,In Progress
Wayne,Honesdale Boro.,8,40,111,300,5,In Progress
Wyoming,Tunkhannock Twp,9,20,110,269,2,In Progress
Montgomery,Red Hill Boro,1,24,131,267,0,In Progress
Mifflin,Lewistown Boro,13,30,171,262,68,In Progress
Mifflin,Brown Twp,13,30,171,254,1,In Progress
Montgomery,North Wales Boro,4,24,61,252,4,In Progress
Indiana,Center,14,41,62,252,0,In Progress
Butler,Forward Twp,16,47,8,251,1,In Progress
Lackawanna,Springbrook,8,40,113,249,2,In Progress
Montgomery,Upper Merion Twp,4,17,149,246,10,In Progress
Lycoming,South Williamsport,15,23,83,241,3,In Progress
Mifflin,Granville Twp,13,30,171,238,1,In Progress
Butler,Winfield Twp,16,21,11,236,8,In Progress
Montgomery,Bridgeport Boro,5,17,149,236,3,In Progress
Lackawanna,Newton,8,22,118,230,0,In Progress
Montgomery,Pennsburg Boro,1,24,131,215,6,In Progress
Montgomery,Salford Twp,1,12,131,214,5,In Progress
Lycoming,Muncy Creek Twp,9,23,84,208,5,In Progress
Butler,Summit Twp,16,21,11,201,2,In Progress
Mifflin,Union Twp,13,30,171,200,1,In Progress
Butler,Seven Fields Boro,16,47,12,199,9,In Progress
Lackawanna,Roaring Brook,8,40,113,198,0,In Progress
Butler,Slippery Rock Twp,16,21,17,196,8,In Progress
Montgomery,West Pottsgrove Twp,4,24,146,193,3,In Progress
Lycoming,Montoursville Boro,9,23,84,192,2,In Progress
Lackawanna,Madison,8,40,113,192,0,In Progress
Lackawanna,Moscow,8,40,113,187,0,In Progress
Indiana,Blairsville,14,41,62,185,1,In Progress
Indiana,Rayne,14,41,66,185,0,In Progress
Montgomery,Hatfield Boro,1,12,53,180,4,In Progress
Indiana,Armstrong,14,41,62,180,4,In Progress
Cumberland,Shippensburg Boro,13,34,193,180,2,In Progress
Montgomery,Rockledge Boro,4,4,153,178,2,In Progress
Butler,Franklin Twp,16,21,8,177,1,In Progress
Lackawanna,Clarks Green,8,22,114,175,0,In Progress
Butler,Clinton Twp,16,21,11,173,4,In Progress
Lycoming,Wolf Twp,9,23,84,173,3,In Progress
Lackawanna,Waverly,8,22,114,170,1,In Progress
Indiana,Burrell,14,41,62,170,0,In Progress
Wayne,Berlin Twp.,8,20,111,169,6,In Progress
Lycoming,Fairfield Twp,9,23,84,168,0,In Progress
Montgomery,East Greenville Boro,1,24,131,167,1,In Progress
Wayne,Texas Twp.,8,40,111,166,2,In Progress
Montgomery,Telford Boro,1,12,53,162,3,In Progress
Wayne,Lehigh Twp.,8,40,139,154,1,In Progress
Lackawanna,Jermyn,8,40,112,150,0,In Progress
Cumberland,Penn Twp,10,34,193,148,3,In Progress
Butler,Clearfield Twp,16,21,11,146,2,In Progress
Cumberland,Wormleysburg Boro,10,34,103,145,2,In Progress
Lackawanna,Benton,8,22,114,144,1,In Progress
Wayne,Clinton Twp.,8,20,111,140,1,In Progress
Butler,Slippery Rock Boro,16,21,17,139,3,In Progress
Wayne,Mount Pleasant Twp.,8,20,111,138,1,In Progress
Lackawanna,Covington,8,40,113,138,1,In Progress
Indiana,Green,14,41,66,135,1,In Progress
Lycoming,Hepburn Twp,15,23,84,135,0,In Progress
Wayne,Dyberry Twp.,8,20,111,131,1,In Progress
Lackawanna,Mayfield,8,40,112,131,0,In Progress
Butler,Mars Boro,16,47,12,130,4,In Progress
Wayne,Cherry Ridge Twp.,8,40,139,129,3,In Progress
Mifflin,Armagh Twp,13,30,171,128,0,In Progress
Montgomery,West Conshohocken Boro,4,17,149,126,3,In Progress
Lackawanna,Greenfield,8,22,114,126,0,In Progress
Butler,Oakland Twp,16,21,11,121,2,In Progress
Wayne,South Canaan Twp.,8,40,139,119,1,In Progress
Lackawanna,Glenburn,8,22,118,117,0,In Progress
Indiana,Conemaugh,14,41,62,117,0,In Progress
Lycoming,Jersey Shore Boro,15,23,84,116,0,In Progress
Wyoming,Eaton Twp,9,20,110,114,0,In Progress
Lycoming,Eldred Twp,9,23,84,114,0,In Progress
Butler,Saxonburg Boro,16,21,11,111,4,In Progress
Lackawanna,Fell Twp,8,40,112,111,0,In Progress
Butler,Valencia Boro,16,47,12,110,1,In Progress
Butler,Muddycreek Twp,16,21,8,108,0,In Progress
Lackawanna,Clifton,8,40,113,108,0,In Progress
Wayne,Dreher Twp.,8,40,139,106,0,In Progress
Mifflin,Decatur Twp,13,30,85,102,3,In Progress
Butler,Clay Twp,16,21,8,101,2,In Progress
Indiana,Cherryhill,14,41,62,101,1,In Progress
Indiana,Washington,14,41,62,100,0,In Progress
Indiana,East Wheatfield,14,41,62,100,0,In Progress
Wyoming,Falls Twp,9,20,110,98,1,In Progress
Butler,Fairview Twp,16,21,17,98,0,In Progress
Cumberland,Hopewell Twp,13,34,199,97,4,In Progress
Montgomery,Schwenksville Boro,4,24,70,96,0,In Progress
Wyoming,Overfield Twp,9,20,110,95,0,In Progress
Lackawanna,Dalton,8,22,118,93,0,In Progress
Wayne,Sterling Twp.,8,40,139,92,0,In Progress
Cumberland,Shippensburg Twp,13,34,193,91,4,In Progress
Indiana,Blacklick,14,41,62,90,8,In Progress
Wayne,Palmyra Twp.,8,20,139,90,3,In Progress
Lycoming,Woodward Twp,15,23,84,90,0,In Progress
Indiana,West Wheatfield,14,41,62,89,1,In Progress
Indiana,Homer City,14,41,62,89,1,In Progress
Cumberland,Mt. Holly Springs Boro,10,34,87,85,5,In Progress
Wyoming,Tunkhannock Boro,9,20,110,85,1,In Progress
Cumberland,Shiremanstown Boro,10,31,88,84,1,In Progress
Mifflin,Wayne Twp,13,30,171,84,0,In Progress
Butler,Evans City Boro,16,47,12,81,2,In Progress
Lycoming,Muncy Boro,9,23,84,81,1,In Progress
Cumberland,Lower Frankford Twp,10,34,199,80,3,In Progress
Mifflin,Burnham Boro,13,30,85,80,2,In Progress
Wayne,Hawley Boro.,8,20,139,80,1,In Progress
Lackawanna,Ransom,8,22,118,78,0,In Progress
Cumberland,Upper Frankford Twp,13,34,199,77,5,In Progress
Cumberland,Lower Mifflin Twp,13,34,199,77,1,In Progress
Lycoming,Upper Fairfield Twp,9,23,84,77,0,In Progress
Lycoming,Clinton Twp,9,23,83,77,0,In Progress
Lycoming,Hughesville Boro,9,23,84,76,1,In Progress
Mifflin,Oliver Twp,13,30,171,76,0,In Progress
Wayne,Preston Twp.,8,20,111,75,1,In Progress
Lycoming,Limestone Twp,15,23,84,75,0,In Progress
Montgomery,Bryn Athyn Boro,4,12,152,73,9,In Progress
Wyoming,Clinton Twp,9,20,110,72,2,In Progress
Butler,Worth Twp,16,21,8,72,1,In Progress
Indiana,Pine,14,41,62,72,0,In Progress
Butler,Donegal Twp,16,21,11,71,4,In Progress
Wayne,Waymart Boro.,8,40,111,71,1,In Progress
Wyoming,Lemon Twp,9,20,110,71,0,In Progress
Butler,Harmony Boro,16,47,12,70,0,In Progress
Indiana,Brush Valley,14,41,62,70,0,In Progress
Butler,Concord Twp,16,21,17,69,0,In Progress
Indiana,Montgomery,15,41,66,66,0,In Progress
Wyoming,Nicholson Twp,9,20,110,65,2,In Progress
Butler,Connoquenessing Boro,16,21,8,65,0,In Progress
Lackawanna,Elmhurst,8,40,113,63,0,In Progress
Wyoming,Northmoreland Twp,9,20,110,61,1,In Progress
Butler,Marion Twp,16,21,17,58,2,In Progress
Cumberland,North Newton Twp,10,34,199,57,0,In Progress
Lackawanna,Carbondale Twp,8,40,112,57,0,In Progress
Cumberland,North Newton Twp,13,34,199,57,0,In Progress
Butler,Prospect Boro,16,21,8,57,0,In Progress
Lycoming,Lycoming Twp,15,23,84,57,0,In Progress
Indiana,Clymer,14,41,62,56,0,In Progress
Cumberland,Newville Boro,10,34,199,55,1,In Progress
Lycoming,Porter Twp,15,23,84,55,1,In Progress
Butler,Brady Twp,16,21,8,55,0,In Progress
Wayne,Canaan Twp.,8,40,111,54,1,In Progress
